Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações;
57054;CARVEDILOL 3,125MG C/ 30 CP;PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;20;20;0;R$ 5,09; R$ -   ;Ok;
59768;CARVEDILOL 6,25MG C/30 CP(BIOL);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;6;6;0;R$ 3,52; R$ -   ;Ok;
57055;CARVEDILOL 6,25MG C/30 CP(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;30;30;0;R$ 5,92; R$ -   ;Ok;
1799;CARVEDILOL 6,25MG C/30 CP(MEDL);PRINCIPAL > 2 - GENÉRICOS > GEN USO CONTI;3;3;0;R$ 6,98; R$ -   ;Ok;
106624;CARVEGRAN 12,5 MG C/ 30 CP;PRINCIPAL > 3 - SIMILARES > SIM_RX;4;4;0;R$ 6,47; R$ -   ;Ok;
57204;CARVEGRAN 25MG 2 BL X C/ 15 CP;PRINCIPAL > 3 - SIMILARES > SIM USO CONT;2;2;0;R$ 10,90; R$ -   ;Ok;
106622;CARVEGRAN 3,125 MG C/ 30 CP;PRINCIPAL > 3 - SIMILARES > SIM_RX;4;4;0;R$ 4,79; R$ -   ;Ok;
57253;CASPACIL SHAMPOO 100ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;1;1;0;R$ 40,90; R$ -   ;Ok;
1271;CAST DA INDIA VARIVAX 100MG C/30CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;4;4;0;R$ 18,13; R$ -   ;Ok;
60610;CAST DA INDIA VARIVAX 300MG C/ 30CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;4;4;0;R$ 28,98; R$ -   ;Ok;
1651;CATAFLAM  AER 11,6MG 60G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 35,96; R$ -   ;Ok;
1574;CATAFLAM 50MG 20DRG;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 42,83; R$ -   ;Ok;
721;CATAFLAM 50MG C/ 10CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 19,31; R$ -   ;Ok;
1890;CATAFLAM EMULGEL GEL 150G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 59,01; R$ -   ;Ok;
484;CATAFLAM EMULGEL GEL 30G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 21,92; R$ -   ;Ok;
1269;CATAFLAM EMULGEL GEL 60G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;5;5;0;R$ 36,31; R$ -   ;Ok;
59035;CATAFLAM PRO XT EMULGEL GEL 50G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 48,49; R$ -   ;Ok;
57058;CATAFLAM SPORT ICE 60 G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;5;5;0;R$ 33,05; R$ -   ;Ok;
71745;FRALDA MAMYPOKO GIGA G 60 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;3;2;-1;R$ 62,41;-R$ 62,41;Perda;0
73324;CEFALEXINA 500MG C/10CP(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN ANTIMI ULT ONE;11;11;0;R$ 13,77; R$ -   ;Ok;
119389;FRALDA PAMPERS SUPER SEQUINHA XG 56 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;18;17;-1;R$ 62,11;-R$ 62,11;Perda;#N/D
63732;CEFALIUM ONE 750MG C/ 20CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 24,07; R$ -   ;Ok;
741;CEFALIV C/ 12CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;12;12;0;R$ 16,42; R$ -   ;Ok;
619;CELERG C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;15;15;0;R$ 8,83; R$ -   ;Ok;
952;CELERG XPE 120ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;12;12;0;R$ 14,66; R$ -   ;Ok;
531;CELERGIN C/ 20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;7;7;0;R$ 8,73; R$ -   ;Ok;
844;CELERGIN XPE 120ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;4;4;0;R$ 9,51; R$ -   ;Ok;
1951;CELESTAMINE XPE 120ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 56,61; R$ -   ;Ok;
1455;CELESTONE ELIXIR 120ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 39,17; R$ -   ;Ok;
63868;CELESTRAT  2MG/0,25MG C/20CP;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;3;3;0;R$ 6,56; R$ -   ;Ok;
981;CELESTRAT XAROPE 120 ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;9;9;0;R$ 8,64; R$ -   ;Ok;
1202;CELETIL XAROPE 120 ML;PRINCIPAL > 3 - SIMILARES > SIM RX ULT ONE;8;8;0;R$ 7,43; R$ -   ;Ok;
63593;VICK 44 E XPE 1,30+13,33MG/ML C/ 240ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;0;-1;R$ 61,20;-R$ 61,20;Perda;#N/D
70581;CENEVIT 1G TRIPLA AÃ‡ÃƒO C/30CP EF;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP SEM ONE;2;2;0;R$ 21,34; R$ -   ;Ok;
56017;SELOZOK 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;4;3;-1;R$ 60,64;-R$ 60,64;Perda;0
62075;TOTAL VITA AZ  C/ 60CAPS;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;61;64;3;R$ 17,87;R$ 53,61;Sobra;
57464;CENTRUM  HOMEM C/60CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 106,21; R$ -   ;Ok;
57465;CENTRUM  MULHER C/30CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 50,27; R$ -   ;Ok;
69336;CENTRUM 150CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 179,03; R$ -   ;Ok;
106534;CENTRUM C/30 CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;2;2;0;R$ 47,04; R$ -   ;Ok;
69334;CENTRUM ENERGIA 60CAPS;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;2;2;0;R$ 48,84; R$ -   ;Ok;
111531;CENTRUM ENERGIA ENVELOPE 5G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;66;66;0;R$ 0,47; R$ -   ;Ok;
71607;CENTRUM ESSENCIAL 30CP (HALEON);PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;4;4;0;R$ 13,11; R$ -   ;Ok;
57467;CENTRUM HOMEM C/30 CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;1;1;0;R$ 53,44; R$ -   ;Ok;
72670;CENTRUM IMUNIDADE ENVELOPE 5G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;12;12;0;R$ 1,82; R$ -   ;Ok;
59391;CERA HILLO ORTODONTICA 05UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ANTISSEPTICO BUCAL;6;6;0;R$ 4,87; R$ -   ;Ok;
61789;CERA ORT DENTALCLEAN 5UNDS;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CREMES DENTAIS ADULT;4;4;0;R$ 8,47; R$ -   ;Ok;
57559;CERA VEET DEPIL FACIAL PELE NORM C/12;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;1;1;0;R$ 14,09; R$ -   ;Ok;
57563;CERA VEET DEPIL PELE DELICADA 100ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;2;2;0;R$ 20,08; R$ -   ;Ok;
1844;CERAZETTE C/ 28CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.06 - ANTICONCEP PROP;2;2;0;R$ 38,67; R$ -   ;Ok;
543;CERUMIN GTS 8ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;8;8;0;R$ 15,58; R$ -   ;Ok;
66923;FR GER BIGFRAL DERMA PLUS M C/8UN;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;2;4;2;R$ 26,17;R$ 52,34;Sobra;
70966;FRALDA HIPOPO CONFORT BAG SHORTINHO XXG 48 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;26;27;1;R$ 51,44;R$ 51,44;Sobra;
73666;CETOCONAZOL  200MG C/10CP(CIM);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 3,82; R$ -   ;Ok;
19;DORALGINA ENV 04CP;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;115;83;-32;R$ 1,88;-R$ 60,16;Perda;#N/D
73392;CETOCONAZOL 200MG C/10CP(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;7;7;0;R$ 9,17; R$ -   ;Ok;
73667;CETOCONAZOL 200MG C/30CP(CIM);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 8,92; R$ -   ;Ok;
110923;PROTETOR SOLAR PRINCIPIA FPS60 PS-03 200ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > PROTETOR SOLAR;13;14;1;R$ 51,06;R$ 51,06;Sobra;
56131;PRESS PLUS 2,5/10MG C/ 30CAPS;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;3;1;R$ 50,88;R$ 50,88;Sobra;
73288;CETOCONAZOL CR 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP;24;24;0;R$ 7,75; R$ -   ;Ok;
72091;CETOCONAZOL CREM 20MG 30G;PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;3;3;0;R$ 8,28; R$ -   ;Ok;
110998;SANY D 50.000UI C/4 CAPS;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;3;2;-1;R$ 57,62;-R$ 57,62;Perda;#N/D
62886;CETOCONAZOL SHAMPOO 100ML (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;1;1;0;R$ 14,11; R$ -   ;Ok;
829;CETOCONAZOL+BETA+NEO GEN POM 30G (TEUTO);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;1;1;0;R$ 6,98; R$ -   ;Ok;
73378;CETOCONAZOL+BETAMET+NEOM CR 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 9,20; R$ -   ;Ok;
73313;CETOCONAZOL+BETAMET+NEOM CR 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;14;14;0;R$ 7,41; R$ -   ;Ok;
73351;CETOCONAZOL+BETAMET+NEOM CREME 30G(TEU);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;6;6;0;R$ 6,43; R$ -   ;Ok;
73301;CETOCONAZOL+BETAMET+NEOM POM 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;14;14;0;R$ 9,05; R$ -   ;Ok;
73371;CETOCONAZOL+BETAMET+NEOM POM 30G(MED);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;4;4;0;R$ 11,17; R$ -   ;Ok;
615;CETOCONAZOL+BETAMETASONA  POM 30G;PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;1;1;0;R$ 8,59; R$ -   ;Ok;
73334;CETOCONAZOL+BETAMETASONA CR 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;3;3;0;R$ 7,57; R$ -   ;Ok;
73306;CETOCONAZOL+BETAMETASONA CR 30G(EUR);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;5;5;0;R$ 6,94; R$ -   ;Ok;
73319;CETOCONAZOL+BETAMETASONA CR 30G(TEU);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;5;5;0;R$ 5,88; R$ -   ;Ok;
73331;CETOCONAZOL+BETAMETASONA POM 30G(EMS);PRINCIPAL > 2 - GENÉRICOS > GEN RX;2;2;0;R$ 7,15; R$ -   ;Ok;
73310;CETOCONAZOL+BETAMETASONA POM 30G(TEU);PRINCIPAL > 2 - GENÉRICOS > GEN RX;4;4;0;R$ 7,30; R$ -   ;Ok;
118130;CETOCONAZOL+BETAMETASONA+NEOMICINA POM 30G (CIMED);PRINCIPAL > 2 - GENÉRICOS > GEN RX SEM ONE;5;5;0;R$ 4,30; R$ -   ;Ok;
1464;CETOCORT CR 30G;PRINCIPAL > 3 - SIMILARES > SIM RX BONIF;9;9;0;R$ 5,93; R$ -   ;Ok;
65592;CETOCORT N 20+0,64+2,5 MG/G POM 30 G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;2;2;0;R$ 7,39; R$ -   ;Ok;
65591;CETOCORT N CR DERM C/ 30 G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;14;14;0;R$ 6,73; R$ -   ;Ok;
1312;CETOCORT POM 30G;PRINCIPAL > 3 - SIMILARES > SIM RX SEM ONE;10;10;0;R$ 7,87; R$ -   ;Ok;
58053;CETOFENID GTS 20ML;PRINCIPAL > 3 - SIMILARES > SIM RX BONIF;17;17;0;R$ 2,57; R$ -   ;Ok;
62548;CETOMICOSS  200MG C/ 30CP;PRINCIPAL > 3 - SIMILARES > SIM RX BONIF;1;1;0;R$ 12,53; R$ -   ;Ok;
61394;CETOPROFENO  50MG C/24 CAPS;PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;3;3;0;R$ 8,43; R$ -   ;Ok;
440;CETOPROFENO  GTS 20ML;PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;20;20;0;R$ 2,33; R$ -   ;Ok;
61192;FR GER CONFORT MASTER ECONOMICA M C/30UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;4;3;-1;R$ 57,08;-R$ 57,08;Perda;#N/D
63689;CETOPROFENO 150 MG C/ 10 CP;PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;16;16;0;R$ 7,19; R$ -   ;Ok;
62387;CETOPROFENO 150 MG C/ 10CP;PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;2;2;0;R$ 6,17; R$ -   ;Ok;
1055;GOTAS PRECIOSAS 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP;3;0;-3;R$ 18,96;-R$ 56,88;Perda;#N/D
398;CETOPROFENO 20MG 20ML;PRINCIPAL > 2 - GENÉRICOS > GEN RX;14;14;0;R$ 2,82; R$ -   ;Ok;
822;CETOPROFENO 50MG C/24 CAPS;PRINCIPAL > 2 - GENÉRICOS > GEN RX ULT ONE;1;1;0;R$ 10,92; R$ -   ;Ok;
71656;CETOPROFENO SOL 20ML;PRINCIPAL > 2 - GENÉRICOS > GEN RX;14;14;0;R$ 3,93; R$ -   ;Ok;
72501;CETOROLACO SL 10MG 10CPR;PRINCIPAL > 2 - GENÉRICOS > GEN RX;1;1;0;R$ 11,19; R$ -   ;Ok;
1806;CETRILAN CR 40G;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.07 - OTC/MIP;2;2;0;R$ 29,45; R$ -   ;Ok;
59467;CETROLAC COL OFTALMICA 5 ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 52,20; R$ -   ;Ok;
59769;CETROLAC MD 4MG/ML  C/ 10 ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 63,81; R$ -   ;Ok;
71455;CETROLAC MD 4MG/ML  C/ 5ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 43,85; R$ -   ;Ok;
1442;CEWIN  500MG  C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 30,34; R$ -   ;Ok;
552;CEWIN GTS 20ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;4;4;0;R$ 14,73; R$ -   ;Ok;
74238;CHIP TIM COMBO TIM PRE C/RECARGA;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;1;1;0;R$ 17,00; R$ -   ;Ok;
65206;CHIP TIM PLANO NAKED 4G S/RECARGA;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;4;4;0;R$ 10,00; R$ -   ;Ok;
65205;CHIP VIVO HIBRIDO S/RECARGA;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;0;1;1;R$ 9,50;R$ 9,50;Sobra Justificada;
111822;CHIP VIVO TRIPLO HIBRIDO;PRINCIPAL > 5 - PERFUMARIA > DIVERSOS > ACESSORIOS;9;8;-1;R$ 10,00;-R$ 10,00;Ajustado Similaridade e Sobra;
61184;FR GER CONFORT MASTER ECONOMICO G C/30UND;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS GER E DESCAR;17;16;-1;R$ 56,86;-R$ 56,86;Perda;0
71356;SHAMPOO SIAGE NUTRI ROSE 400ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > SHAMPOO;8;9;1;R$ 50,68;R$ 50,68;Sobra;
75920;CHOC ARCOR TORTUGUITA CHOCOCROCA 15,5G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;59;59;0;R$ 1,50; R$ -   ;Ok;
76257;CHOC ARCOR TORTUGUITA CONFEITO 100G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;1;1;0;R$ 8,11; R$ -   ;Ok;
75945;CHOC ARCOR TORTUGUITA CROCANTE 100G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;5;5;0;R$ 8,11; R$ -   ;Ok;
1453;BRASART 320 MG C/ 30 CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;3;4;1;R$ 49,83;R$ 49,83;Sobra;
75921;CHOC ARCOR TORTUGUITA MAIS LEITE 100G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;2;2;0;R$ 8,11; R$ -   ;Ok;
59346;CHOC ARCOR TORTUGUITA OVINHOS 50G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;5;5;0;R$ 3,95; R$ -   ;Ok;
75947;CHOC BIS XTRA AO LEITE 45G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;36;36;0;R$ 4,01; R$ -   ;Ok;
57319;OTOMIXYN GTS 5ML;PRINCIPAL > 3 - SIMILARES > SIM ANTIMI ONE;30;12;-18;R$ 3,15;-R$ 56,70;Perda;#N/D
66127;RIVAROXABANA 10MG C/ 30CP;PRINCIPAL > 2 - GENÉRICOS > GEN RX;8;11;3;R$ 16,22;R$ 48,66;Sobra;
118527;CHOC LACTA AO LEITE 28G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;12;12;0;R$ 2,97; R$ -   ;Ok;
70332;CHOC LACTA AO LEITE 80G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;16;16;0;R$ 6,51; R$ -   ;Ok;
69361;CHOC LACTA BIS XTRA BLACK 45G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;23;23;0;R$ 4,08; R$ -   ;Ok;
61455;LUVA MUSCULACAO KESTA  PRETO M;PRINCIPAL > 5 - PERFUMARIA > PRIMEIROS SOCORROS > LUVAS;1;2;1;R$ 48,44;R$ 48,44;Sobra;
75894;CHOC LACTA BOMBOM SONHO DE VALSA 20G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;13;13;0;R$ 1,22; R$ -   ;Ok;
70333;CHOC LACTA DIAMANTE NEGRO 80G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;13;13;0;R$ 8,27; R$ -   ;Ok;
70335;CHOC LACTA LAKA 80G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;14;14;0;R$ 6,85; R$ -   ;Ok;
65506;MASCARA CAPILAR SIAGE CAUTERIZACAO DOS FIOS 250G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > TRATAMENTO CAPILAR;6;7;1;R$ 48,21;R$ 48,21;Sobra;
70331;CHOC LACTA LAKA OREO 80G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;20;20;0;R$ 6,80; R$ -   ;Ok;
63320;CHOC M&MS AMENDOIM 45G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;5;5;0;R$ 3,68; R$ -   ;Ok;
63321;CHOC M&MS AO LEITE 45G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;15;15;0;R$ 3,80; R$ -   ;Ok;
72766;CHOC M&MS TUBOS MINIS 30G;PRINCIPAL > 6 - CONVENIÊNCIA > ALIMENTOS;2;2;0;R$ 3,68; R$ -   ;Ok;
118551;CHOC SNICKERS BRANCO 42G;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;8;8;0;R$ 3,03; R$ -   ;Ok;
76291;CHOC SNICKERS DARK 42G;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;16;16;0;R$ 3,28; R$ -   ;Ok;
65416;CALCIPLEX COLAGENO C/60CPS;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 1 - 10%;3;2;-1;R$ 55,96;-R$ 55,96;Perda;#N/D
109315;CHOC SNICKERS PE DE MOLEQUE 42G;PRINCIPAL > 4 - DIAMANTES > DIAMANTE 0 - 5%;8;8;0;R$ 3,03; R$ -   ;Ok;
61695;CHOC TORTUGUITA  CONFEITO 40G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;1;1;0;R$ 3,41; R$ -   ;Ok;
65171;MASCARA CAPILAR SIAGE NUTRI OLEOS PODEROSOS 250G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > TRATAMENTO CAPILAR;12;13;1;R$ 48,21;R$ 48,21;Sobra;
60154;CHOCALHO LOLLY TIP RS REF 7230;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;3;3;0;R$ 10,76; R$ -   ;Ok;
57790;LEITE NESTOGENO 2 800G;PRINCIPAL > 7 - LEITES E FRALDAS > FORMULAS INFANTIS;25;26;1;R$ 47,59;R$ 47,59;Sobra;
62085;CHUP LOLLY  100% SIL ORT TAM2 AZ;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;10;10;0;R$ 11,43; R$ -   ;Ok;
63234;SH+COND TIO NACHO ENGROSSADOR 415+200ML;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CABELO;6;7;1;R$ 47,25;R$ 47,25;Sobra;
61244;CHUP LOLLY  DREAMS ORT TAM1 RS;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 7,49; R$ -   ;Ok;
61189;FRALDA HIPOPO ECONOMICO P 56 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;8;6;-2;R$ 27,97;-R$ 55,94;Perda;#N/D
64093;CHUP LOLLY  OCEANO RED TAM1 RS;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 7,20; R$ -   ;Ok;
73812;CHUP LOLLY 100% SIL ORT TAM1 C/2UND AZUL E NUDE(LOL);PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 21,19; R$ -   ;Ok;
110640;CHUP LOLLY 100% SIL ORT TAM1 C/2UND ROSA E NUDE(LOL);PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 21,76; R$ -   ;Ok;
62084;CHUP LOLLY 100% SIL ORT TAM2 ROSA SPECIAL;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;6;6;0;R$ 11,51; R$ -   ;Ok;
61179;FRALDA HIPOPO ECONOMICO XG 44 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;23;21;-2;R$ 27,80;-R$ 55,60;Perda;#N/D
62585;CHUP LOLLY 100% SIL RED TAM1 RS;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 10,39; R$ -   ;Ok;
65634;CHUP LOLLY DREAM  SL ORT T2;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > ACESSORIOS P/BANHO;2;2;0;R$ 7,97; R$ -   ;Ok;
65324;PROTETOR SOLAR FACIAL NEUTROGENA OILY SKIN S/COR FPS70 40G;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > PROTETOR SOLAR;9;8;-1;R$ 55,14;-R$ 55,14;Perda;#N/D
60155;CHUP LOLLY JOY RED TAM2 AZUL;PRINCIPAL > 5 - PERFUMARIA > CUIDADO AO BEBE/INFANTIL > ACESSORIOS INFANTIS;4;4;0;R$ 5,06; R$ -   ;Ok;
